               *               *    core_i/load_store_unit_i/U517/output
            0.87            0.87    core_i/load_store_unit_i/U765/A
            0.87            0.87    core_i/load_store_unit_i/U765/ZN
            0.87            0.87    core_i/load_store_unit_i/U768/A
            0.87            0.87    core_i/load_store_unit_i/U768/ZN
            0.75            0.71    core_i/load_store_unit_i/U193/A
            0.71            0.75    core_i/load_store_unit_i/U193/ZN
            0.79            0.75    core_i/load_store_unit_i/U197/A
            0.75            0.79    core_i/load_store_unit_i/U197/ZN
            4.28            4.20    core_i/load_store_unit_i/U394/A1
            0.43            0.32    core_i/load_store_unit_i/U394/A2
            0.42            0.31    core_i/load_store_unit_i/U394/B1
            4.25            4.17    core_i/load_store_unit_i/U394/B2
            0.31            0.42    core_i/load_store_unit_i/U394/ZN
            0.82            0.80    core_i/load_store_unit_i/U201/A
            0.80            0.82    core_i/load_store_unit_i/U201/ZN
            1.01            0.97    core_i/load_store_unit_i/U204/A
            0.97            1.01    core_i/load_store_unit_i/U204/ZN
            1.14            1.13    core_i/load_store_unit_i/U210/A
            1.13            1.14    core_i/load_store_unit_i/U210/ZN
            4.30            4.20    core_i/load_store_unit_i/U402/A1
            0.44            0.32    core_i/load_store_unit_i/U402/A2
            0.44            0.31    core_i/load_store_unit_i/U402/B1
            4.26            4.17    core_i/load_store_unit_i/U402/B2
            0.31            0.44    core_i/load_store_unit_i/U402/ZN
            1.32            1.33    core_i/load_store_unit_i/U214/A
            1.33            1.32    core_i/load_store_unit_i/U214/ZN
            1.24            1.23    core_i/load_store_unit_i/U216/A
            1.23            1.24    core_i/load_store_unit_i/U216/ZN
            1.23            1.30    core_i/load_store_unit_i/U221/A
            1.30            1.23    core_i/load_store_unit_i/U221/ZN
            1.24            1.27    core_i/load_store_unit_i/U224/A
            1.27            1.24    core_i/load_store_unit_i/U224/ZN
            1.36            1.36    core_i/load_store_unit_i/U227/A
            1.36            1.36    core_i/load_store_unit_i/U227/ZN
            1.47            1.50    core_i/load_store_unit_i/U229/A
            1.50            1.47    core_i/load_store_unit_i/U229/ZN
            0.29            0.18    core_i/load_store_unit_i/U422/A
            0.18            0.29    core_i/load_store_unit_i/U422/ZN
            1.57            1.58    core_i/load_store_unit_i/U236/A
            1.58            1.57    core_i/load_store_unit_i/U236/ZN
            1.61            1.63    core_i/load_store_unit_i/U238/A
            1.63            1.61    core_i/load_store_unit_i/U238/ZN
            1.62            1.68    core_i/load_store_unit_i/U242/A
            1.68            1.62    core_i/load_store_unit_i/U242/ZN
            3.58            3.71    core_i/load_store_unit_i/U299/A1
            3.56            3.64    core_i/load_store_unit_i/U299/A2
            3.64            3.56    core_i/load_store_unit_i/U299/ZN
            0.32            0.44    core_i/load_store_unit_i/U100/A
            0.44            0.32    core_i/load_store_unit_i/U100/ZN
            0.30            0.44    core_i/load_store_unit_i/U101/A
            0.44            0.30    core_i/load_store_unit_i/U101/ZN
            1.74            1.76    core_i/load_store_unit_i/U304/A1
            1.71            1.71    core_i/load_store_unit_i/U304/A2
            1.71            1.71    core_i/load_store_unit_i/U304/ZN
            4.33            4.32    core_i/load_store_unit_i/U309/A1
            4.25            4.18    core_i/load_store_unit_i/U309/A2
            4.18            4.25    core_i/load_store_unit_i/U309/ZN
            0.14            0.19    core_i/load_store_unit_i/U61/A1
            0.22            0.19    core_i/load_store_unit_i/U61/A2
            0.19            0.14    core_i/load_store_unit_i/U61/ZN
            4.35            4.33    core_i/load_store_unit_i/U62/A1
            0.23            0.22    core_i/load_store_unit_i/U62/A2
            0.22            0.23    core_i/load_store_unit_i/U62/ZN
            0.99            1.08    core_i/load_store_unit_i/U120/A1
            1.07            1.09    core_i/load_store_unit_i/U120/A2
            1.08            0.99    core_i/load_store_unit_i/U120/ZN
            4.20            4.25    core_i/load_store_unit_i/U313/A1
            4.13            4.18    core_i/load_store_unit_i/U313/A2
            4.18            4.13    core_i/load_store_unit_i/U313/ZN
            0.13            0.21    core_i/load_store_unit_i/U122/A1
            0.21            0.21    core_i/load_store_unit_i/U122/A2
            0.21            0.13    core_i/load_store_unit_i/U122/ZN
            0.35            0.41    core_i/load_store_unit_i/U315/A
            0.41            0.35    core_i/load_store_unit_i/U315/ZN
            1.63            1.68    core_i/load_store_unit_i/U508/A1
            1.62            1.64    core_i/load_store_unit_i/U508/A2
            1.64            1.62    core_i/load_store_unit_i/U508/ZN
            4.13            4.19    core_i/load_store_unit_i/U319/A1
            4.13            4.13    core_i/load_store_unit_i/U319/A2
            4.13            4.13    core_i/load_store_unit_i/U319/ZN
            0.16            0.25    core_i/load_store_unit_i/U128/A1
            0.22            0.24    core_i/load_store_unit_i/U128/A2
            0.24            0.16    core_i/load_store_unit_i/U128/ZN
            4.19            4.24    core_i/load_store_unit_i/U321/A1
            4.11            4.09    core_i/load_store_unit_i/U321/A2
            4.10            4.11    core_i/load_store_unit_i/U321/ZN
            4.14            4.11    core_i/load_store_unit_i/U322/A1
            4.03            4.01    core_i/load_store_unit_i/U322/A2
            4.01            4.03    core_i/load_store_unit_i/U322/ZN
            0.11            0.26    core_i/load_store_unit_i/U5/A
            0.11            0.26    core_i/load_store_unit_i/U5/Z
            0.24            0.31    core_i/load_store_unit_i/U132/A1
            0.30            0.29    core_i/load_store_unit_i/U132/A2
            0.29            0.24    core_i/load_store_unit_i/U132/ZN
            0.32            0.30    core_i/load_store_unit_i/U136/A
            0.30            0.32    core_i/load_store_unit_i/U136/ZN
            0.35            0.41    core_i/load_store_unit_i/U329/A
            0.41            0.35    core_i/load_store_unit_i/U329/ZN
            3.85            3.85    core_i/load_store_unit_i/U85/A1
            0.00            0.00    core_i/load_store_unit_i/U85/A2
            0.00            0.00    core_i/load_store_unit_i/U85/ZN
            3.93            3.99    core_i/load_store_unit_i/U91/A
            3.99            3.93    core_i/load_store_unit_i/U91/ZN
            4.06            4.02    core_i/load_store_unit_i/U97/A
            4.02            4.06    core_i/load_store_unit_i/U97/ZN
            0.31            0.44    core_i/load_store_unit_i/U99/A
            0.44            0.31    core_i/load_store_unit_i/U99/ZN
            0.32            0.44    core_i/load_store_unit_i/U344/A
            0.44            0.32    core_i/load_store_unit_i/U344/ZN
            0.55            0.53    core_i/load_store_unit_i/U159/A
            0.53            0.55    core_i/load_store_unit_i/U159/ZN
            0.11            0.23    core_i/load_store_unit_i/U352/A
            0.23            0.11    core_i/load_store_unit_i/U352/ZN
            3.93            4.03    core_i/load_store_unit_i/U356/A
            4.03            3.93    core_i/load_store_unit_i/U356/ZN
            4.13            4.16    core_i/load_store_unit_i/U360/A1
            4.21            4.26    core_i/load_store_unit_i/U360/A2
            4.16            4.13    core_i/load_store_unit_i/U360/ZN
            1.83            1.83    core_i/load_store_unit_i/U746/A1
            1.82            1.77    core_i/load_store_unit_i/U746/A2
            1.77            1.82    core_i/load_store_unit_i/U746/ZN
            4.33            4.37    core_i/load_store_unit_i/U366/A1
            4.23            4.20    core_i/load_store_unit_i/U366/A2
            4.20            4.23    core_i/load_store_unit_i/U366/ZN
            4.20            4.29    core_i/load_store_unit_i/U369/A1
            4.10            4.12    core_i/load_store_unit_i/U369/A2
            4.12            4.10    core_i/load_store_unit_i/U369/ZN
            0.62            0.73    core_i/load_store_unit_i/U194/A1
