               *               *    core_i/load_store_unit_i/U517/output
            4.39            4.29    core_i/load_store_unit_i/U382/A2
            4.22            4.13    core_i/load_store_unit_i/U382/B1
            0.44            0.30    core_i/load_store_unit_i/U382/B2
            0.30            0.44    core_i/load_store_unit_i/U382/ZN
            0.78            0.62    core_i/load_store_unit_i/U191/A1
            0.92            0.88    core_i/load_store_unit_i/U191/A2
            0.78            0.62    core_i/load_store_unit_i/U191/ZN
            4.07            4.03    core_i/load_store_unit_i/U383/A1
            4.40            4.30    core_i/load_store_unit_i/U383/A2
            0.52            0.38    core_i/load_store_unit_i/U383/B1
            4.16            4.13    core_i/load_store_unit_i/U383/B2
            0.38            0.52    core_i/load_store_unit_i/U383/ZN
            0.74            0.59    core_i/load_store_unit_i/U192/A1
            0.87            0.85    core_i/load_store_unit_i/U192/A2
            0.59            0.74    core_i/load_store_unit_i/U192/ZN
            4.13            4.14    core_i/load_store_unit_i/U384/A1
            4.39            4.29    core_i/load_store_unit_i/U384/A2
            4.06            4.01    core_i/load_store_unit_i/U384/B1
            0.51            0.38    core_i/load_store_unit_i/U384/B2
            0.38            0.51    core_i/load_store_unit_i/U384/ZN
            0.68            0.52    core_i/load_store_unit_i/U199/A1
            0.83            0.79    core_i/load_store_unit_i/U199/A2
            0.68            0.52    core_i/load_store_unit_i/U199/ZN
            4.16            4.23    core_i/load_store_unit_i/U390/C1
            4.39            4.49    core_i/load_store_unit_i/U390/C2
            0.39            0.53    core_i/load_store_unit_i/U390/A
            0.39            0.53    core_i/load_store_unit_i/U390/B
            0.53            0.39    core_i/load_store_unit_i/U390/ZN
            4.07            4.08    core_i/load_store_unit_i/U396/A1
            4.38            4.31    core_i/load_store_unit_i/U396/A2
            4.20            4.15    core_i/load_store_unit_i/U396/B1
            0.42            0.31    core_i/load_store_unit_i/U396/B2
            0.31            0.42    core_i/load_store_unit_i/U396/ZN
            4.05            4.05    core_i/load_store_unit_i/U397/A1
            4.39            4.31    core_i/load_store_unit_i/U397/A2
            0.50            0.40    core_i/load_store_unit_i/U397/B1
            4.15            4.14    core_i/load_store_unit_i/U397/B2
            0.40            0.50    core_i/load_store_unit_i/U397/ZN
            4.11            4.15    core_i/load_store_unit_i/U398/A1
            4.38            4.31    core_i/load_store_unit_i/U398/A2
            4.05            4.02    core_i/load_store_unit_i/U398/B1
            0.50            0.40    core_i/load_store_unit_i/U398/B2
            0.40            0.50    core_i/load_store_unit_i/U398/ZN
            0.68            0.55    core_i/load_store_unit_i/U200/A1
            0.82            0.81    core_i/load_store_unit_i/U200/A2
            0.55            0.68    core_i/load_store_unit_i/U200/ZN
            0.88            0.73    core_i/load_store_unit_i/U206/A1
            1.05            1.00    core_i/load_store_unit_i/U206/A2
            0.88            0.73    core_i/load_store_unit_i/U206/ZN
            0.92            0.78    core_i/load_store_unit_i/U208/A1
            1.08            1.05    core_i/load_store_unit_i/U208/A2
            0.78            0.92    core_i/load_store_unit_i/U208/ZN
            4.09            4.08    core_i/load_store_unit_i/U403/A1
            4.39            4.31    core_i/load_store_unit_i/U403/A2
            4.22            4.15    core_i/load_store_unit_i/U403/B1
            0.44            0.31    core_i/load_store_unit_i/U403/B2
            0.31            0.44    core_i/load_store_unit_i/U403/ZN
            1.64            1.71    core_i/load_store_unit_i/U212/A
            1.50            1.43    core_i/load_store_unit_i/U212/B
            1.44            1.43    core_i/load_store_unit_i/U212/ZN
            4.07            4.05    core_i/load_store_unit_i/U404/A1
            4.40            4.31    core_i/load_store_unit_i/U404/A2
            0.52            0.40    core_i/load_store_unit_i/U404/B1
            4.16            4.14    core_i/load_store_unit_i/U404/B2
            0.40            0.52    core_i/load_store_unit_i/U404/ZN
            4.13            4.15    core_i/load_store_unit_i/U405/A1
            4.39            4.31    core_i/load_store_unit_i/U405/A2
            4.06            4.02    core_i/load_store_unit_i/U405/B1
            0.51            0.40    core_i/load_store_unit_i/U405/B2
            0.40            0.51    core_i/load_store_unit_i/U405/ZN
            1.17            1.16    core_i/load_store_unit_i/U218/A1
            1.01            0.87    core_i/load_store_unit_i/U218/A2
            1.01            0.87    core_i/load_store_unit_i/U218/ZN
            4.14            4.22    core_i/load_store_unit_i/U411/C1
            4.38            4.48    core_i/load_store_unit_i/U411/C2
            0.37            0.51    core_i/load_store_unit_i/U411/A
            0.38            0.52    core_i/load_store_unit_i/U411/B
            0.51            0.37    core_i/load_store_unit_i/U411/ZN
            4.14            4.22    core_i/load_store_unit_i/U417/C1
            4.38            4.48    core_i/load_store_unit_i/U417/C2
            0.37            0.51    core_i/load_store_unit_i/U417/A
            0.38            0.52    core_i/load_store_unit_i/U417/B
            0.51            0.37    core_i/load_store_unit_i/U417/ZN
            0.18            0.29    core_i/load_store_unit_i/U424/B1
            4.00            4.05    core_i/load_store_unit_i/U424/B2
            0.14            0.29    core_i/load_store_unit_i/U424/A
            0.29            0.14    core_i/load_store_unit_i/U424/ZN
            0.52            0.36    core_i/load_store_unit_i/U426/A1
            4.11            4.04    core_i/load_store_unit_i/U426/A2
            4.08            4.02    core_i/load_store_unit_i/U426/B1
            4.39            4.24    core_i/load_store_unit_i/U426/B2
            0.36            0.52    core_i/load_store_unit_i/U426/ZN
            0.26            0.16    core_i/load_store_unit_i/U429/A1
            0.62            0.49    core_i/load_store_unit_i/U429/A2
            4.50            4.39    core_i/load_store_unit_i/U429/B1
            0.40            0.31    core_i/load_store_unit_i/U429/B2
            0.16            0.26    core_i/load_store_unit_i/U429/ZN
            4.14            4.22    core_i/load_store_unit_i/U432/C1
            4.38            4.48    core_i/load_store_unit_i/U432/C2
            0.37            0.51    core_i/load_store_unit_i/U432/A
            0.38            0.52    core_i/load_store_unit_i/U432/B
            0.51            0.37    core_i/load_store_unit_i/U432/ZN
            4.13            4.08    core_i/load_store_unit_i/U436/A1
            0.58            0.43    core_i/load_store_unit_i/U436/A2
            4.14            4.08    core_i/load_store_unit_i/U436/B1
            0.58            0.41    core_i/load_store_unit_i/U436/B2
            0.58            0.40    core_i/load_store_unit_i/U436/C1
            4.15            4.09    core_i/load_store_unit_i/U436/C2
            0.40            0.58    core_i/load_store_unit_i/U436/ZN
            0.25            0.15    core_i/load_store_unit_i/U437/A1
            0.62            0.48    core_i/load_store_unit_i/U437/A2
            4.49            4.37    core_i/load_store_unit_i/U437/B1
            0.40            0.30    core_i/load_store_unit_i/U437/B2
            0.15            0.25    core_i/load_store_unit_i/U437/ZN
            4.13            4.11    core_i/load_store_unit_i/U440/A1
            4.46            4.37    core_i/load_store_unit_i/U440/A2
            4.18            4.15    core_i/load_store_unit_i/U440/B1
            0.51            0.37    core_i/load_store_unit_i/U440/B2
            0.37            0.51    core_i/load_store_unit_i/U440/ZN
            0.25            0.15    core_i/load_store_unit_i/U441/A1
            0.62            0.48    core_i/load_store_unit_i/U441/A2
            4.49            4.37    core_i/load_store_unit_i/U441/B1
            0.40            0.30    core_i/load_store_unit_i/U441/B2
            0.15            0.25    core_i/load_store_unit_i/U441/ZN
            1.60            1.58    core_i/load_store_unit_i/U251/A1
            1.58            1.61    core_i/load_store_unit_i/U251/A2
            1.58            1.58    core_i/load_store_unit_i/U251/ZN
            4.15            4.08    core_i/load_store_unit_i/U443/A1
            0.60            0.43    core_i/load_store_unit_i/U443/A2
            4.16            4.08    core_i/load_store_unit_i/U443/B1
            0.60            0.41    core_i/load_store_unit_i/U443/B2
            0.60            0.40    core_i/load_store_unit_i/U443/C1
            4.17            4.09    core_i/load_store_unit_i/U443/C2
            0.40            0.60    core_i/load_store_unit_i/U443/ZN
            0.28            0.15    core_i/load_store_unit_i/U444/A1
            0.64            0.48    core_i/load_store_unit_i/U444/A2
            4.51            4.37    core_i/load_store_unit_i/U444/B1
            0.42            0.30    core_i/load_store_unit_i/U444/B2
            0.15            0.28    core_i/load_store_unit_i/U444/ZN
            4.14            4.08    core_i/load_store_unit_i/U446/A1
            0.59            0.43    core_i/load_store_unit_i/U446/A2
            4.15            4.09    core_i/load_store_unit_i/U446/B1
            0.59            0.41    core_i/load_store_unit_i/U446/B2
            0.59            0.41    core_i/load_store_unit_i/U446/C1
            4.16            4.09    core_i/load_store_unit_i/U446/C2
            0.41            0.59    core_i/load_store_unit_i/U446/ZN
            0.27            0.15    core_i/load_store_unit_i/U447/A1
            0.63            0.48    core_i/load_store_unit_i/U447/A2
            4.50            4.37    core_i/load_store_unit_i/U447/B1
            0.41            0.30    core_i/load_store_unit_i/U447/B2
            0.15            0.27    core_i/load_store_unit_i/U447/ZN
            4.13            4.08    core_i/load_store_unit_i/U449/A1
            0.58            0.43    core_i/load_store_unit_i/U449/A2
            4.14            4.08    core_i/load_store_unit_i/U449/B1
            0.58            0.41    core_i/load_store_unit_i/U449/B2
            0.58            0.40    core_i/load_store_unit_i/U449/C1
            4.15            4.09    core_i/load_store_unit_i/U449/C2
            0.40            0.58    core_i/load_store_unit_i/U449/ZN
            1.53            1.57    core_i/load_store_unit_i/U259/A
            1.57            1.53    core_i/load_store_unit_i/U259/ZN
            0.25            0.15    core_i/load_store_unit_i/U450/A1
            0.62            0.48    core_i/load_store_unit_i/U450/A2
            4.49            4.37    core_i/load_store_unit_i/U450/B1
            0.40            0.30    core_i/load_store_unit_i/U450/B2
            0.15            0.25    core_i/load_store_unit_i/U450/ZN
            4.13            4.11    core_i/load_store_unit_i/U452/A1
            4.46            4.37    core_i/load_store_unit_i/U452/A2
            4.18            4.15    core_i/load_store_unit_i/U452/B1
            0.51            0.37    core_i/load_store_unit_i/U452/B2
            0.37            0.51    core_i/load_store_unit_i/U452/ZN
            0.25            0.15    core_i/load_store_unit_i/U453/A1
            0.62            0.48    core_i/load_store_unit_i/U453/A2
            4.49            4.37    core_i/load_store_unit_i/U453/B1
            0.40            0.30    core_i/load_store_unit_i/U453/B2
            0.15            0.25    core_i/load_store_unit_i/U453/ZN
            4.13            4.11    core_i/load_store_unit_i/U455/A1
            4.46            4.37    core_i/load_store_unit_i/U455/A2
            4.18            4.15    core_i/load_store_unit_i/U455/B1
            0.51            0.37    core_i/load_store_unit_i/U455/B2
            0.37            0.51    core_i/load_store_unit_i/U455/ZN
            0.25            0.15    core_i/load_store_unit_i/U456/A1
            0.62            0.48    core_i/load_store_unit_i/U456/A2
            4.49            4.37    core_i/load_store_unit_i/U456/B1
            0.40            0.30    core_i/load_store_unit_i/U456/B2
            0.15            0.25    core_i/load_store_unit_i/U456/ZN
            4.12            4.07    core_i/load_store_unit_i/U458/A1
            0.58            0.43    core_i/load_store_unit_i/U458/A2
            4.13            4.08    core_i/load_store_unit_i/U458/B1
            0.58            0.40    core_i/load_store_unit_i/U458/B2
            0.58            0.40    core_i/load_store_unit_i/U458/C1
            4.15            4.08    core_i/load_store_unit_i/U458/C2
            0.40            0.58    core_i/load_store_unit_i/U458/ZN
            0.25            0.14    core_i/load_store_unit_i/U459/A1
            0.62            0.48    core_i/load_store_unit_i/U459/A2
            4.49            4.37    core_i/load_store_unit_i/U459/B1
            0.40            0.30    core_i/load_store_unit_i/U459/B2
            0.14            0.25    core_i/load_store_unit_i/U459/ZN
            4.13            4.11    core_i/load_store_unit_i/U461/A1
            4.46            4.37    core_i/load_store_unit_i/U461/A2
            4.18            4.16    core_i/load_store_unit_i/U461/B1
            0.51            0.37    core_i/load_store_unit_i/U461/B2
            0.37            0.51    core_i/load_store_unit_i/U461/ZN
            0.25            0.15    core_i/load_store_unit_i/U462/A1
            0.62            0.48    core_i/load_store_unit_i/U462/A2
            4.49            4.37    core_i/load_store_unit_i/U462/B1
            0.40            0.30    core_i/load_store_unit_i/U462/B2
            0.15            0.25    core_i/load_store_unit_i/U462/ZN
            1.56            1.56    core_i/load_store_unit_i/U272/A
            1.56            1.56    core_i/load_store_unit_i/U272/ZN
            4.13            4.11    core_i/load_store_unit_i/U464/A1
            4.46            4.37    core_i/load_store_unit_i/U464/A2
            4.18            4.15    core_i/load_store_unit_i/U464/B1
            0.51            0.37    core_i/load_store_unit_i/U464/B2
            0.37            0.51    core_i/load_store_unit_i/U464/ZN
            0.25            0.15    core_i/load_store_unit_i/U465/A1
            0.62            0.48    core_i/load_store_unit_i/U465/A2
            4.49            4.37    core_i/load_store_unit_i/U465/B1
            0.40            0.30    core_i/load_store_unit_i/U465/B2
            0.15            0.25    core_i/load_store_unit_i/U465/ZN
            4.13            4.08    core_i/load_store_unit_i/U467/A1
            0.58            0.43    core_i/load_store_unit_i/U467/A2
            4.14            4.08    core_i/load_store_unit_i/U467/B1
            0.58            0.41    core_i/load_store_unit_i/U467/B2
            0.58            0.40    core_i/load_store_unit_i/U467/C1
            4.15            4.09    core_i/load_store_unit_i/U467/C2
            0.40            0.58    core_i/load_store_unit_i/U467/ZN
            0.25            0.15    core_i/load_store_unit_i/U468/A1
            0.62            0.48    core_i/load_store_unit_i/U468/A2
            4.49            4.37    core_i/load_store_unit_i/U468/B1
            0.40            0.30    core_i/load_store_unit_i/U468/B2
            0.15            0.25    core_i/load_store_unit_i/U468/ZN
            0.55            0.68    core_i/load_store_unit_i/U29/A
            0.68            0.55    core_i/load_store_unit_i/U29/ZN
            1.51            1.42    core_i/load_store_unit_i/U282/A1
            1.45            1.51    core_i/load_store_unit_i/U282/A2
            1.42            1.45    core_i/load_store_unit_i/U282/ZN
            1.51            1.43    core_i/load_store_unit_i/U284/A1
            1.43            1.50    core_i/load_store_unit_i/U284/A2
            1.43            1.43    core_i/load_store_unit_i/U284/ZN
            4.21            4.25    core_i/load_store_unit_i/U476/B1
            0.61            0.51    core_i/load_store_unit_i/U476/B2
            0.53            0.39    core_i/load_store_unit_i/U476/A
            0.39            0.53    core_i/load_store_unit_i/U476/ZN
            0.28            0.39    core_i/load_store_unit_i/U31/A1
            0.27            0.37    core_i/load_store_unit_i/U31/A2
            0.27            0.37    core_i/load_store_unit_i/U31/ZN
            1.38            1.46    core_i/load_store_unit_i/U286/A
            1.46            1.38    core_i/load_store_unit_i/U286/ZN
            0.28            0.40    core_i/load_store_unit_i/U32/A
            0.40            0.28    core_i/load_store_unit_i/U32/ZN
            1.51            1.42    core_i/load_store_unit_i/U289/A1
            1.44            1.51    core_i/load_store_unit_i/U289/A2
            1.42            1.44    core_i/load_store_unit_i/U289/ZN
            1.18            1.26    core_i/load_store_unit_i/U36/A1
            1.18            1.24    core_i/load_store_unit_i/U36/A2
            1.24            1.18    core_i/load_store_unit_i/U36/ZN
            1.18            1.23    core_i/load_store_unit_i/U39/A1
            1.26            1.29    core_i/load_store_unit_i/U39/A2
            1.18            1.23    core_i/load_store_unit_i/U39/ZN
            1.40            1.47    core_i/load_store_unit_i/U291/A
            1.47            1.40    core_i/load_store_unit_i/U291/ZN
            0.68            0.52    core_i/load_store_unit_i/U40/A1
            0.73            0.62    core_i/load_store_unit_i/U40/A2
            0.68            0.52    core_i/load_store_unit_i/U40/ZN
            1.56            1.57    core_i/load_store_unit_i/U295/A
            1.58            1.60    core_i/load_store_unit_i/U295/B
            1.56            1.57    core_i/load_store_unit_i/U295/ZN
            0.22            0.37    core_i/load_store_unit_i/U41/A
            0.37            0.22    core_i/load_store_unit_i/U41/ZN
            0.21            0.39    core_i/load_store_unit_i/U42/A1
            0.23            0.37    core_i/load_store_unit_i/U42/A2
            0.37            0.21    core_i/load_store_unit_i/U42/ZN
            1.18            1.18    core_i/load_store_unit_i/U297/A1
            1.19            1.23    core_i/load_store_unit_i/U297/A2
            1.18            1.18    core_i/load_store_unit_i/U297/ZN
            0.38            0.51    core_i/load_store_unit_i/U44/A1
            0.39            0.53    core_i/load_store_unit_i/U44/A2
            0.38            0.51    core_i/load_store_unit_i/U44/ZN
            0.11            0.26    core_i/load_store_unit_i/U49/A
            0.26            0.11    core_i/load_store_unit_i/U49/ZN
            0.62            0.59    core_i/load_store_unit_i/U494/A
            0.59            0.62    core_i/load_store_unit_i/U494/ZN
            0.49            0.65    core_i/load_store_unit_i/U50/A
            0.65            0.49    core_i/load_store_unit_i/U50/ZN
            0.68            0.68    core_i/load_store_unit_i/U497/A1
            4.47            4.47    core_i/load_store_unit_i/U497/A2
            0.68            0.68    core_i/load_store_unit_i/U497/ZN
            0.23            0.11    core_i/load_store_unit_i/U51/A1
            4.30            4.19    core_i/load_store_unit_i/U51/A2
            0.11            0.23    core_i/load_store_unit_i/U51/ZN
            0.20            0.36    core_i/load_store_unit_i/U69/A1
            0.22            0.34    core_i/load_store_unit_i/U69/A2
            0.34            0.20    core_i/load_store_unit_i/U69/ZN
            1.35            1.44    core_i/load_store_unit_i/U76/A1
            1.38            1.43    core_i/load_store_unit_i/U76/A2
            1.35            1.43    core_i/load_store_unit_i/U76/ZN
            0.19            0.13    core_i/load_store_unit_i/U130/B1
            0.26            0.17    core_i/load_store_unit_i/U130/B2
            0.24            0.16    core_i/load_store_unit_i/U130/A
            0.13            0.19    core_i/load_store_unit_i/U130/ZN
            0.35            0.41    core_i/load_store_unit_i/U325/A1
            0.44            0.49    core_i/load_store_unit_i/U325/A2
            0.43            0.48    core_i/load_store_unit_i/U325/A3
            0.41            0.35    core_i/load_store_unit_i/U325/ZN
            1.51            1.54    core_i/load_store_unit_i/U82/A1
            1.37            1.43    core_i/load_store_unit_i/U82/A2
            1.37            1.43    core_i/load_store_unit_i/U82/ZN
            0.35            0.41    core_i/load_store_unit_i/U333/A1
            0.44            0.48    core_i/load_store_unit_i/U333/A2
            0.43            0.48    core_i/load_store_unit_i/U333/A3
            0.41            0.35    core_i/load_store_unit_i/U333/ZN
            0.32            0.44    core_i/load_store_unit_i/U340/A1
            0.41            0.52    core_i/load_store_unit_i/U340/A2
            0.41            0.51    core_i/load_store_unit_i/U340/A3
            0.44            0.32    core_i/load_store_unit_i/U340/ZN
            0.32            0.44    core_i/load_store_unit_i/U348/A1
            0.41            0.52    core_i/load_store_unit_i/U348/A2
            0.41            0.51    core_i/load_store_unit_i/U348/A3
            0.44            0.32    core_i/load_store_unit_i/U348/ZN
            4.02            4.08    core_i/load_store_unit_i/U362/A1
            0.38            0.53    core_i/load_store_unit_i/U362/A2
            0.53            0.38    core_i/load_store_unit_i/U362/ZN
            0.61            0.59    core_i/load_store_unit_i/U750/A1
            0.76            0.78    core_i/load_store_unit_i/U750/A2
            0.59            0.61    core_i/load_store_unit_i/U750/ZN
            0.79            0.81    core_i/load_store_unit_i/U753/A1
            4.77            4.77    core_i/load_store_unit_i/U753/A2
            4.74            4.74    core_i/load_store_unit_i/U753/B1
            0.59            0.56    core_i/load_store_unit_i/U753/B2
            0.56            0.59    core_i/load_store_unit_i/U753/ZN
            0.60            0.52    core_i/load_store_unit_i/U372/B1
            4.20            4.25    core_i/load_store_unit_i/U372/B2
            0.52            0.39    core_i/load_store_unit_i/U372/A
            0.39            0.52    core_i/load_store_unit_i/U372/ZN
            4.21            4.25    core_i/load_store_unit_i/U378/B1
            0.61            0.51    core_i/load_store_unit_i/U378/B2
            0.53            0.39    core_i/load_store_unit_i/U378/A
            0.39            0.53    core_i/load_store_unit_i/U378/ZN
            0.30            0.44    core_i/load_store_unit_i/U385/A1
            0.38            0.52    core_i/load_store_unit_i/U385/A2
            0.38            0.51    core_i/load_store_unit_i/U385/A3
            0.44            0.30    core_i/load_store_unit_i/U385/ZN
            4.21            4.25    core_i/load_store_unit_i/U391/B1
            0.61            0.51    core_i/load_store_unit_i/U391/B2
            0.53            0.39    core_i/load_store_unit_i/U391/A
            0.39            0.53    core_i/load_store_unit_i/U391/ZN
            0.31            0.42    core_i/load_store_unit_i/U399/A1
            0.40            0.50    core_i/load_store_unit_i/U399/A2
            0.40            0.50    core_i/load_store_unit_i/U399/A3
            0.42            0.31    core_i/load_store_unit_i/U399/ZN
            0.31            0.44    core_i/load_store_unit_i/U406/A1
            0.40            0.52    core_i/load_store_unit_i/U406/A2
            0.40            0.51    core_i/load_store_unit_i/U406/A3
            0.44            0.31    core_i/load_store_unit_i/U406/ZN
            4.20            4.23    core_i/load_store_unit_i/U412/B1
            0.59            0.49    core_i/load_store_unit_i/U412/B2
            0.51            0.37    core_i/load_store_unit_i/U412/A
            0.37            0.51    core_i/load_store_unit_i/U412/ZN
            4.20            4.23    core_i/load_store_unit_i/U418/B1
            0.59            0.49    core_i/load_store_unit_i/U418/B2
            0.51            0.37    core_i/load_store_unit_i/U418/A
            0.37            0.51    core_i/load_store_unit_i/U418/ZN
            0.29            0.14    core_i/load_store_unit_i/U425/B1
            0.37            0.24    core_i/load_store_unit_i/U425/B2
            0.29            0.16    core_i/load_store_unit_i/U425/C1
            4.04            4.00    core_i/load_store_unit_i/U425/C2
            4.21            4.13    core_i/load_store_unit_i/U425/A
            0.14            0.29    core_i/load_store_unit_i/U425/ZN
            4.20            4.23    core_i/load_store_unit_i/U433/B1
            0.59            0.49    core_i/load_store_unit_i/U433/B2
            0.51            0.37    core_i/load_store_unit_i/U433/A
            0.37            0.51    core_i/load_store_unit_i/U433/ZN
            1.40            1.47    core_i/load_store_unit_i/U253/A
            1.47            1.40    core_i/load_store_unit_i/U253/ZN
            1.38            1.46    core_i/load_store_unit_i/U256/A
            1.46            1.38    core_i/load_store_unit_i/U256/ZN
            1.57            1.53    core_i/load_store_unit_i/U260/A1
            1.56            1.58    core_i/load_store_unit_i/U260/A2
            1.53            1.56    core_i/load_store_unit_i/U260/ZN
            1.51            1.42    core_i/load_store_unit_i/U262/A1
            1.45            1.51    core_i/load_store_unit_i/U262/A2
            1.42            1.45    core_i/load_store_unit_i/U262/ZN
            1.51            1.43    core_i/load_store_unit_i/U264/A1
            1.44            1.50    core_i/load_store_unit_i/U264/A2
            1.43            1.44    core_i/load_store_unit_i/U264/ZN
            1.50            1.42    core_i/load_store_unit_i/U266/A1
            1.42            1.50    core_i/load_store_unit_i/U266/A2
            1.42            1.42    core_i/load_store_unit_i/U266/ZN
            1.51            1.43    core_i/load_store_unit_i/U268/A1
            1.43            1.49    core_i/load_store_unit_i/U268/A2
            1.43            1.43    core_i/load_store_unit_i/U268/ZN
            1.50            1.42    core_i/load_store_unit_i/U270/A1
            1.43            1.49    core_i/load_store_unit_i/U270/A2
            1.42            1.43    core_i/load_store_unit_i/U270/ZN
            1.56            1.56    core_i/load_store_unit_i/U273/A1
            1.58            1.59    core_i/load_store_unit_i/U273/A2
            1.56            1.56    core_i/load_store_unit_i/U273/ZN
            1.51            1.42    core_i/load_store_unit_i/U275/A1
            1.44            1.51    core_i/load_store_unit_i/U275/A2
            1.42            1.44    core_i/load_store_unit_i/U275/ZN
            1.50            1.42    core_i/load_store_unit_i/U277/A1
            1.43            1.49    core_i/load_store_unit_i/U277/A2
            1.42            1.43    core_i/load_store_unit_i/U277/ZN
            1.40            1.47    core_i/load_store_unit_i/U279/A
            1.47            1.40    core_i/load_store_unit_i/U279/ZN
            0.29            0.43    core_i/load_store_unit_i/U26/A
            0.43            0.29    core_i/load_store_unit_i/U26/ZN
            0.59            0.74    core_i/load_store_unit_i/U27/A1
            0.69            0.80    core_i/load_store_unit_i/U27/A2
            0.59            0.73    core_i/load_store_unit_i/U27/A3
            0.73            0.59    core_i/load_store_unit_i/U27/ZN
            1.47            1.40    core_i/load_store_unit_i/U280/A1
            1.43            1.50    core_i/load_store_unit_i/U280/A2
            1.40            1.43    core_i/load_store_unit_i/U280/ZN
            1.18            1.23    core_i/load_store_unit_i/U30/A1
            1.30            1.33    core_i/load_store_unit_i/U30/A2
            1.18            1.23    core_i/load_store_unit_i/U30/ZN
            1.46            1.38    core_i/load_store_unit_i/U287/A1
            1.40            1.48    core_i/load_store_unit_i/U287/A2
            1.38            1.40    core_i/load_store_unit_i/U287/ZN
            0.37            0.21    core_i/load_store_unit_i/U34/A1
            0.43            0.26    core_i/load_store_unit_i/U34/A2
            0.37            0.21    core_i/load_store_unit_i/U34/ZN
            4.27            4.38    core_i/load_store_unit_i/U35/B1
            0.14            0.29    core_i/load_store_unit_i/U35/B2
            0.11            0.23    core_i/load_store_unit_i/U35/A
            0.23            0.11    core_i/load_store_unit_i/U35/ZN
            0.39            0.25    core_i/load_store_unit_i/U37/A1
            0.34            0.20    core_i/load_store_unit_i/U37/A2
            0.34            0.20    core_i/load_store_unit_i/U37/ZN
            1.25            1.23    core_i/load_store_unit_i/U38/A
            1.18            1.18    core_i/load_store_unit_i/U38/B
            1.19            1.18    core_i/load_store_unit_i/U38/Z
            1.47            1.40    core_i/load_store_unit_i/U292/A1
            1.43            1.50    core_i/load_store_unit_i/U292/A2
            1.40            1.43    core_i/load_store_unit_i/U292/ZN
            4.79            4.80    core_i/load_store_unit_i/U495/A1
            0.60            0.62    core_i/load_store_unit_i/U495/A2
            0.62            0.60    core_i/load_store_unit_i/U495/ZN
            4.74            4.77    core_i/load_store_unit_i/U498/A1
            0.59            0.62    core_i/load_store_unit_i/U498/A2
            0.62            0.59    core_i/load_store_unit_i/U498/ZN
            0.56            0.55    core_i/load_store_unit_i/U326/B1
            4.18            4.30    core_i/load_store_unit_i/U326/B2
            0.41            0.35    core_i/load_store_unit_i/U326/A
            0.35            0.41    core_i/load_store_unit_i/U326/ZN
            0.13            0.19    core_i/load_store_unit_i/U135/B1
            0.24            0.29    core_i/load_store_unit_i/U135/B2
            0.25            0.31    core_i/load_store_unit_i/U135/A
            0.19            0.13    core_i/load_store_unit_i/U135/ZN
            0.56            0.55    core_i/load_store_unit_i/U334/B1
            4.18            4.30    core_i/load_store_unit_i/U334/B2
            0.41            0.35    core_i/load_store_unit_i/U334/A
            0.35            0.41    core_i/load_store_unit_i/U334/ZN
            0.21            0.33    core_i/load_store_unit_i/U93/A1
            0.21            0.26    core_i/load_store_unit_i/U93/A2
            0.26            0.21    core_i/load_store_unit_i/U93/ZN
            0.59            0.52    core_i/load_store_unit_i/U341/B1
            4.21            4.27    core_i/load_store_unit_i/U341/B2
            0.44            0.32    core_i/load_store_unit_i/U341/A
            0.32            0.44    core_i/load_store_unit_i/U341/ZN
            0.59            0.52    core_i/load_store_unit_i/U349/B1
            4.21            4.27    core_i/load_store_unit_i/U349/B2
            0.44            0.32    core_i/load_store_unit_i/U349/A
            0.32            0.44    core_i/load_store_unit_i/U349/ZN
            0.46            0.34    core_i/load_store_unit_i/U363/C1
            4.44            4.34    core_i/load_store_unit_i/U363/C2
            0.42            0.28    core_i/load_store_unit_i/U363/A
            0.53            0.38    core_i/load_store_unit_i/U363/B
            0.28            0.42    core_i/load_store_unit_i/U363/ZN
            0.59            0.61    core_i/load_store_unit_i/U751/A
            4.80            4.80    core_i/load_store_unit_i/U751/B
            0.59            0.61    core_i/load_store_unit_i/U751/Z
            4.78            4.80    core_i/load_store_unit_i/U754/B1
            0.63            0.62    core_i/load_store_unit_i/U754/B2
            0.56            0.59    core_i/load_store_unit_i/U754/A
            0.59            0.56    core_i/load_store_unit_i/U754/ZN
            0.71            0.70    core_i/load_store_unit_i/U755/A1
            4.78            4.75    core_i/load_store_unit_i/U755/A2
            4.80            4.80    core_i/load_store_unit_i/U755/B1
            0.62            0.63    core_i/load_store_unit_i/U755/B2
            0.63            0.62    core_i/load_store_unit_i/U755/ZN
            4.81            4.80    core_i/load_store_unit_i/U756/A
            4.80            4.79    core_i/load_store_unit_i/U756/B
            0.59            0.62    core_i/load_store_unit_i/U756/S
            0.62            0.59    core_i/load_store_unit_i/U756/Z
            4.81            4.79    core_i/load_store_unit_i/U757/A
            4.80            4.79    core_i/load_store_unit_i/U757/B
            0.59            0.62    core_i/load_store_unit_i/U757/S
            0.62            0.59    core_i/load_store_unit_i/U757/Z
            0.71            0.70    core_i/load_store_unit_i/U758/A1
            4.75            4.72    core_i/load_store_unit_i/U758/A2
            4.80            4.80    core_i/load_store_unit_i/U758/B1
            0.62            0.63    core_i/load_store_unit_i/U758/B2
            0.63            0.62    core_i/load_store_unit_i/U758/ZN
            0.59            0.50    core_i/load_store_unit_i/U386/B1
